Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2020-06-01 01:00 AM,2020,06,01,01,39.2,110,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 02:00 AM,2020,06,01,02,41.1,115,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 03:00 AM,2020,06,01,03,40.0,112,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 04:00 AM,2020,06,01,04,31.5,92,Moderate,23.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 05:00 AM,2020,06,01,05,26.2,81,Moderate,21.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 06:00 AM,2020,06,01,06,21.1,70,Moderate,16.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 07:00 AM,2020,06,01,07,22.0,72,Moderate,23.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 08:00 AM,2020,06,01,08,22.0,72,Moderate,22.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 09:00 AM,2020,06,01,09,20.0,68,Moderate,18.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 10:00 AM,2020,06,01,10,26.5,81,Moderate,33.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 11:00 AM,2020,06,01,11,24.7,77,Moderate,23.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 12:00 PM,2020,06,01,12,21.8,71,Moderate,19.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 01:00 PM,2020,06,01,13,95.9,172,Unhealthy,170.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 02:00 PM,2020,06,01,14,63.9,155,Unhealthy,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 03:00 PM,2020,06,01,15,49.4,135,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 04:00 PM,2020,06,01,16,41.2,115,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 05:00 PM,2020,06,01,17,34.1,97,Moderate,27.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 06:00 PM,2020,06,01,18,37.0,105,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 07:00 PM,2020,06,01,19,44.0,122,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 08:00 PM,2020,06,01,20,40.0,112,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 09:00 PM,2020,06,01,21,30.5,90,Moderate,21.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 10:00 PM,2020,06,01,22,20.7,69,Moderate,11.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-01 11:00 PM,2020,06,01,23,16.3,60,Moderate,12.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 12:00 AM,2020,06,02,00,40.1,112,Unhealthy for Sensitive Groups,64.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 01:00 AM,2020,06,02,01,30.5,90,Moderate,21.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 02:00 AM,2020,06,02,02,25.2,79,Moderate,20.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 03:00 AM,2020,06,02,03,19.1,66,Moderate,13.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 04:00 AM,2020,06,02,04,18.0,63,Moderate,17.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 05:00 AM,2020,06,02,05,18.5,64,Moderate,19.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 06:00 AM,2020,06,02,06,19.2,66,Moderate,20.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 07:00 AM,2020,06,02,07,18.6,65,Moderate,18.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-06-02 08:00 AM,2020,06,02,08,26.3,81,Moderate,34.0,UG/M3,1 Hr,Valid
